Time,Connectivity,Reachability
0.00,1,1.00
0.17,1,1.00
0.33,1,1.00
0.50,1,1.00
0.67,0,0.64
0.83,0,0.64
1.00,0,0.64
1.17,0,0.64
1.33,0,0.64
1.50,0,0.64
1.67,0,0.64
1.83,0,0.64
2.00,0,0.64
2.17,0,0.64
2.33,0,0.64
2.50,0,0.64
2.67,0,0.64
2.83,0,0.64
3.00,0,0.64
3.17,0,0.64
3.33,0,0.64
3.50,0,0.64
3.67,0,0.64
3.83,0,0.64
4.00,0,0.64
4.17,0,0.64
4.33,0,0.49
4.50,0,0.49
4.67,0,0.49
4.83,0,0.49
5.00,0,0.49
5.17,0,0.49
5.33,0,0.49
5.50,0,0.49
5.67,0,0.49
5.83,0,0.49
6.00,0,0.49
6.17,0,0.49
6.33,0,0.49
6.50,0,0.49
6.67,0,0.49
6.83,0,0.49
7.00,0,0.49
7.17,0,0.49
7.33,0,0.49
7.50,0,0.49
7.67,0,0.49
7.83,0,0.27
8.00,0,0.27
8.17,0,0.49
8.33,0,0.49
8.50,0,0.49
8.67,0,0.49
8.83,0,0.49
9.00,0,0.49
9.17,0,0.49
9.33,0,0.49
9.50,0,0.49
9.67,0,0.49
9.83,0,0.49
10.00,0,0.49
10.17,0,0.49
10.33,0,0.49
10.50,0,0.49
10.67,0,0.49
10.83,0,0.49
11.00,0,0.49
11.17,0,0.49
11.33,0,0.49
11.50,0,0.49
11.67,0,0.49
11.83,0,0.49
12.00,0,0.27
12.17,0,0.27
12.33,0,0.49
12.50,0,0.49
12.67,0,0.49
12.83,0,0.49
13.00,0,0.49
13.17,0,0.49
13.33,0,0.49
13.50,0,0.49
13.67,0,0.49
13.83,0,0.49
14.00,0,0.49
14.17,0,0.49
14.33,0,0.49
14.50,0,0.49
14.67,0,0.49
14.83,0,0.49
15.00,0,0.49
15.17,0,0.49
15.33,0,0.49
15.50,0,0.49
15.67,0,0.49
15.83,0,0.49
16.00,0,0.49
16.17,0,0.49
16.33,0,0.49
16.50,0,0.49
16.67,0,0.49
16.83,0,0.49
17.00,0,0.49
17.17,0,0.49
17.33,0,0.49
17.50,0,0.49
17.67,0,0.49
17.83,0,0.49
18.00,0,0.49
18.17,0,0.49
18.33,0,0.49
18.50,0,0.49
18.67,0,0.49
18.83,0,0.49
19.00,0,0.49
19.17,0,0.49
19.33,1,1.00
19.50,1,1.00
19.67,1,1.00
19.83,1,1.00
20.00,1,1.00
20.00,1,1.00
20.17,1,1.00
20.33,1,1.00
20.50,1,1.00
20.67,1,1.00
20.83,0,0.49
21.00,0,0.49
21.17,0,0.49
21.33,0,0.49
21.50,0,0.49
21.67,0,0.49
21.83,0,0.49
22.00,0,0.49
22.17,0,0.49
22.33,0,0.49
22.50,0,0.49
22.67,0,0.49
22.83,0,0.49
23.00,0,0.49
23.17,0,0.49
23.33,0,0.49
23.50,0,0.49
23.67,0,0.49
23.83,0,0.22
24.00,0,0.22
24.17,0,0.22
24.33,0,0.22
24.50,0,0.22
24.67,0,0.22
24.83,0,0.22
25.00,0,0.22
25.17,0,0.22
25.33,0,0.22
25.50,0,0.22
25.67,0,0.22
25.83,0,0.22
26.00,0,0.49
26.17,0,0.49
26.33,0,0.49
26.50,0,0.49
26.67,0,0.49
26.83,0,0.49
27.00,0,0.49
27.17,0,0.49
27.33,0,0.49
27.50,0,0.49
27.67,0,0.49
27.83,0,0.49
28.00,0,0.49
28.17,0,0.49
28.33,0,0.49
28.50,0,0.49
28.67,0,0.49
28.83,0,0.49
29.00,0,0.49
29.17,0,0.49
29.33,0,0.49
29.50,0,0.49
29.67,0,0.49
29.83,0,0.49
30.00,0,0.49
30.17,0,0.49
30.33,0,0.49
30.50,0,0.27
30.67,0,0.27
30.83,0,0.27
31.00,0,0.27
31.17,0,0.27
31.33,0,0.27
31.50,0,0.27
31.67,0,0.27
31.83,0,0.27
32.00,0,0.27
32.17,0,0.27
32.33,0,0.27
32.50,0,0.27
32.67,0,0.27
32.83,0,0.27
33.00,0,0.27
33.17,0,0.27
33.33,0,0.27
33.50,0,0.27
33.67,0,0.27
33.83,0,0.27
34.00,0,0.27
34.17,0,0.27
34.33,0,0.27
34.50,0,0.27
34.67,0,0.27
34.83,0,0.27
35.00,0,0.27
35.17,0,0.27
35.33,0,0.27
35.50,0,0.27
35.67,0,0.27
35.83,0,0.27
36.00,0,0.27
36.17,0,0.27
36.33,0,0.27
36.50,0,0.27
36.67,0,0.27
36.83,0,0.27
37.00,0,0.27
37.17,0,0.27
37.33,0,0.27
37.50,0,0.27
37.67,0,0.27
37.83,0,0.27
38.00,0,0.27
38.17,0,0.27
38.33,0,0.27
38.50,0,0.27
