Time,Connectivity,Reachability
0.00,1,1.00
0.17,1,1.00
0.33,1,1.00
0.50,0,0.53
0.67,0,0.53
0.83,0,0.40
1.00,0,0.40
1.17,0,0.40
1.33,0,0.40
1.50,0,0.40
1.67,0,0.40
1.83,0,0.40
2.00,0,0.40
2.17,0,0.40
2.33,0,0.40
2.50,0,0.40
2.67,0,0.40
2.83,0,0.40
3.00,0,0.40
3.17,0,0.40
3.33,0,0.40
3.50,0,0.40
3.67,0,0.40
3.83,0,0.40
4.00,0,0.40
4.17,0,0.40
4.33,0,0.40
4.50,0,0.40
4.67,0,0.40
4.83,0,0.40
5.00,0,0.40
5.17,0,0.40
5.33,0,0.40
5.50,0,0.40
5.67,0,0.40
5.83,0,0.40
6.00,0,0.40
6.17,0,0.40
6.33,0,0.40
6.50,0,0.40
6.67,0,0.40
6.83,0,0.40
7.00,0,0.40
7.17,0,0.40
7.33,0,0.40
7.50,0,0.40
7.67,0,0.40
7.83,0,0.40
8.00,0,0.40
8.17,0,0.40
8.33,0,0.40
8.50,0,0.40
8.67,0,0.40
8.83,0,0.40
9.00,0,0.40
9.17,0,0.40
9.33,0,0.40
9.50,0,0.40
9.67,0,0.40
9.83,0,0.40
10.00,0,0.40
10.17,0,0.40
10.33,0,0.40
10.50,0,0.40
10.67,0,0.40
10.83,0,0.40
11.00,0,0.40
11.17,0,0.40
11.33,0,0.40
11.50,0,0.40
11.67,0,0.80
11.83,0,0.80
12.00,0,0.80
12.17,0,0.80
12.33,0,0.80
12.50,0,0.80
12.67,0,0.80
12.83,0,0.80
13.00,0,0.80
13.17,0,0.80
13.33,0,0.80
13.50,0,0.80
13.67,0,0.80
13.83,0,0.80
14.00,0,0.80
14.17,0,0.80
14.33,0,0.80
14.50,0,0.80
14.67,0,0.80
14.83,0,0.80
15.00,0,0.80
15.17,0,0.80
15.33,0,0.80
15.50,0,0.80
15.67,0,0.80
15.83,0,0.80
16.00,0,0.80
16.17,0,0.80
16.33,1,1.00
16.50,1,1.00
16.67,1,1.00
16.83,1,1.00
17.00,1,1.00
17.17,1,1.00
17.33,1,1.00
17.50,1,1.00
17.67,1,1.00
17.83,1,1.00
18.00,1,1.00
18.17,1,1.00
18.33,1,1.00
18.50,1,1.00
18.67,1,1.00
18.83,1,1.00
19.00,1,1.00
19.17,1,1.00
19.33,1,1.00
19.50,1,1.00
19.67,1,1.00
19.83,1,1.00
20.00,1,1.00
20.00,1,1.00
20.17,1,1.00
20.33,1,1.00
20.50,1,1.00
20.67,1,1.00
20.83,1,1.00
21.00,1,1.00
21.17,1,1.00
21.33,1,1.00
21.50,1,1.00
21.67,1,1.00
21.83,1,1.00
22.00,1,1.00
22.17,1,1.00
22.33,1,1.00
22.50,1,1.00
22.67,1,1.00
22.83,1,1.00
23.00,1,1.00
23.17,1,1.00
23.33,1,1.00
23.50,1,1.00
23.67,1,1.00
23.83,0,0.80
24.00,0,0.80
24.17,0,0.80
24.33,0,0.80
24.50,0,0.80
24.67,0,0.80
24.83,0,0.80
25.00,0,0.80
25.17,0,0.80
25.33,0,0.80
25.50,0,0.80
25.67,0,0.80
25.83,0,0.80
26.00,0,0.80
26.17,0,0.36
26.33,0,0.36
26.50,0,0.36
26.67,0,0.36
26.83,0,0.36
27.00,0,0.36
27.17,0,0.36
27.33,0,0.36
27.50,0,0.36
27.67,0,0.36
27.83,0,0.36
28.00,0,0.36
28.17,0,0.36
28.33,0,0.36
28.50,0,0.36
28.67,0,0.36
28.83,0,0.36
29.00,0,0.36
29.17,0,0.36
29.33,0,0.36
29.50,0,0.36
29.67,0,0.36
29.83,0,0.36
30.00,0,0.36
30.17,0,0.36
30.33,0,0.36
30.50,0,0.36
30.67,0,0.36
30.83,0,0.36
31.00,0,0.36
31.17,0,0.36
31.33,0,0.36
31.50,0,0.36
31.67,0,0.36
31.83,0,0.36
32.00,0,0.36
32.17,0,0.36
32.33,0,0.36
32.50,0,0.36
32.67,0,0.36
32.83,0,0.36
33.00,0,0.36
33.17,0,0.36
33.33,0,0.36
33.50,0,0.36
33.67,0,0.36
33.83,0,0.36
34.00,0,0.36
34.17,0,0.36
34.33,0,0.36
34.50,0,0.36
34.67,0,0.36
34.83,0,0.36
35.00,0,0.36
35.17,0,0.36
35.33,0,0.36
35.50,0,0.36
35.67,0,0.36
35.83,0,0.36
36.00,0,0.36
36.17,0,0.36
36.33,0,0.36
36.50,0,0.36
36.67,0,0.36
36.83,0,0.36
37.00,0,0.36
37.17,0,0.36
37.33,0,0.36
37.50,0,0.36
37.67,0,0.36
37.83,0,0.36
38.00,0,0.36
38.17,0,0.36
38.33,0,0.36
38.50,0,0.36
