Time,Connectivity,Reachability
0.00,1,1.00
0.17,1,1.00
0.33,0,0.80
0.50,0,0.22
0.67,0,0.22
0.83,0,0.22
1.00,0,0.22
1.17,0,0.22
1.33,0,0.22
1.50,0,0.22
1.67,0,0.22
1.83,0,0.22
2.00,0,0.22
2.17,0,0.22
2.33,0,0.22
2.50,0,0.22
2.67,0,0.22
2.83,0,0.22
3.00,0,0.22
3.17,0,0.22
3.33,0,0.22
3.50,0,0.22
3.67,0,0.22
3.83,0,0.22
4.00,0,0.22
4.17,0,0.22
4.33,0,0.22
4.50,0,0.22
4.67,0,0.22
4.83,0,0.22
5.00,0,0.22
5.17,0,0.22
5.33,0,0.22
5.50,0,0.22
5.67,0,0.22
5.83,0,0.22
6.00,0,0.22
6.17,0,0.22
6.33,0,0.22
6.50,0,0.22
6.67,0,0.22
6.83,0,0.22
7.00,0,0.22
7.17,0,0.22
7.33,0,0.22
7.50,0,0.22
7.67,0,0.22
7.83,0,0.22
8.00,0,0.22
8.17,0,0.22
8.33,0,0.22
8.50,0,0.22
8.67,0,0.22
8.83,0,0.22
9.00,0,0.22
9.17,0,0.22
9.33,0,0.22
9.50,0,0.22
9.67,0,0.22
9.83,0,0.22
10.00,0,0.22
10.17,0,0.22
10.33,0,0.22
10.50,0,0.22
10.67,0,0.22
10.83,0,0.22
11.00,0,0.22
11.17,0,0.22
11.33,0,0.22
11.50,0,0.22
11.67,0,0.22
11.83,0,0.22
12.00,0,0.22
12.17,0,0.22
12.33,0,0.22
12.50,0,0.22
12.67,0,0.22
12.83,0,0.22
13.00,0,0.22
13.17,0,0.22
13.33,0,0.22
13.50,0,0.22
13.67,0,0.22
13.83,0,0.22
14.00,0,0.31
14.17,0,0.31
14.33,0,0.31
14.50,0,0.31
14.67,0,0.31
14.83,0,0.31
15.00,0,0.31
15.17,0,0.31
15.33,0,0.31
15.50,0,0.31
15.67,0,0.31
15.83,0,0.31
16.00,0,0.31
16.17,0,0.31
16.33,0,0.44
16.50,0,0.44
16.67,0,0.44
16.83,0,0.44
17.00,0,0.44
17.17,1,1.00
17.33,1,1.00
17.50,1,1.00
17.67,1,1.00
17.83,1,1.00
18.00,1,1.00
18.17,1,1.00
18.33,1,1.00
18.50,1,1.00
18.67,1,1.00
18.83,1,1.00
19.00,1,1.00
19.17,1,1.00
19.33,1,1.00
19.50,1,1.00
19.67,1,1.00
19.83,1,1.00
20.00,1,1.00
20.00,1,1.00
20.17,1,1.00
20.33,1,1.00
20.50,1,1.00
20.67,1,1.00
20.83,1,1.00
21.00,1,1.00
21.17,1,1.00
21.33,1,1.00
21.50,1,1.00
21.67,1,1.00
21.83,1,1.00
22.00,1,1.00
22.17,1,1.00
22.33,1,1.00
22.50,1,1.00
22.67,1,1.00
22.83,1,1.00
23.00,1,1.00
23.17,1,1.00
23.33,1,1.00
23.50,1,1.00
23.67,1,1.00
23.83,1,1.00
24.00,1,1.00
24.17,1,1.00
24.33,1,1.00
24.50,1,1.00
24.67,1,1.00
24.83,1,1.00
25.00,1,1.00
25.17,1,1.00
25.33,1,1.00
25.50,1,1.00
25.67,1,1.00
25.83,1,1.00
26.00,1,1.00
26.17,1,1.00
26.33,1,1.00
26.50,1,1.00
26.67,1,1.00
26.83,1,1.00
27.00,1,1.00
27.17,1,1.00
27.33,1,1.00
27.50,1,1.00
27.67,1,1.00
27.83,0,0.44
28.00,0,0.44
28.17,0,0.44
28.33,0,0.44
28.50,0,0.44
28.67,0,0.27
28.83,0,0.27
29.00,0,0.27
29.17,0,0.27
29.33,0,0.27
29.50,0,0.27
29.67,0,0.31
29.83,0,0.31
30.00,0,0.31
30.17,0,0.31
30.33,0,0.31
30.50,0,0.31
30.67,0,0.31
30.83,0,0.31
31.00,0,0.31
31.17,0,0.31
31.33,0,0.31
31.50,0,0.31
31.67,0,0.31
31.83,0,0.31
32.00,0,0.31
32.17,0,0.31
32.33,0,0.31
32.50,0,0.31
32.67,0,0.31
32.83,0,0.31
33.00,0,0.31
33.17,0,0.31
33.33,0,0.31
33.50,0,0.31
33.67,0,0.31
33.83,0,0.31
34.00,0,0.31
34.17,0,0.31
34.33,0,0.31
34.50,0,0.31
34.67,0,0.31
34.83,0,0.31
35.00,0,0.31
35.17,0,0.31
35.33,0,0.31
35.50,0,0.31
35.67,0,0.31
35.83,0,0.31
36.00,0,0.31
36.17,0,0.31
36.33,0,0.31
36.50,0,0.31
36.67,0,0.31
36.83,0,0.31
37.00,0,0.31
37.17,0,0.31
37.33,0,0.31
37.50,0,0.31
37.67,0,0.31
37.83,0,0.31
38.00,0,0.31
38.17,0,0.31
38.33,0,0.31
38.50,0,0.31
