Time,Connectivity,Reachability
71.33,0,0.40
71.50,0,0.40
71.67,0,0.40
71.83,0,0.40
72.00,0,0.40
72.17,0,0.40
72.33,0,0.40
72.50,0,0.40
72.67,0,0.40
72.83,0,0.40
73.00,0,0.40
73.17,0,0.40
73.33,0,0.40
73.50,0,0.40
73.67,0,0.40
73.83,0,0.40
74.00,0,0.40
74.17,0,0.36
74.33,0,0.36
74.50,0,0.36
74.67,0,0.36
74.83,0,0.36
75.00,0,0.36
75.17,0,0.36
75.33,0,0.36
75.50,0,0.36
75.67,0,0.36
75.83,0,0.36
76.00,0,0.36
76.17,0,0.36
76.33,0,0.62
76.50,0,0.62
76.67,0,0.62
76.83,0,0.62
77.00,0,0.62
77.17,0,0.62
77.33,0,0.62
77.50,0,0.62
77.67,0,0.62
77.83,0,0.62
78.00,0,0.62
78.17,0,0.62
78.33,0,0.62
78.50,0,0.62
78.67,0,0.62
78.83,0,0.62
79.00,0,0.62
79.17,0,0.62
79.33,0,0.80
79.50,0,0.80
79.67,1,1.00
79.83,1,1.00
80.00,1,1.00
80.00,1,1.00
80.17,1,1.00
80.33,1,1.00
80.50,1,1.00
80.67,1,1.00
80.83,0,0.80
81.00,0,0.80
81.17,0,0.80
81.33,0,0.80
81.50,0,0.80
81.67,0,0.80
81.83,0,0.80
82.00,0,0.80
82.17,0,0.80
82.33,0,0.80
82.50,0,0.80
82.67,0,0.80
82.83,0,0.80
83.00,0,0.80
83.17,0,0.80
83.33,0,0.80
83.50,0,0.80
83.67,0,0.80
83.83,0,0.62
84.00,0,0.62
84.17,0,0.62
84.33,0,0.62
84.50,0,0.62
84.67,0,0.62
84.83,0,0.62
85.00,0,0.62
85.17,0,0.62
85.33,0,0.62
85.50,0,0.62
85.67,0,0.62
85.83,0,0.62
86.00,0,0.80
86.17,0,0.80
86.33,0,0.80
86.50,0,0.80
86.67,0,0.80
86.83,0,0.80
87.00,0,0.80
87.17,0,0.80
87.33,0,0.80
87.50,0,0.80
87.67,0,0.80
87.83,0,0.80
88.00,0,0.80
88.17,0,0.80
88.33,0,0.80
88.50,0,0.80
88.67,0,0.80
88.83,0,0.62
89.00,0,0.62
89.17,0,0.62
89.33,0,0.62
89.50,0,0.62
89.67,0,0.62
89.83,0,0.62
90.00,0,0.62
90.17,0,0.62
90.33,0,0.62
90.50,0,0.62
90.67,0,0.62
90.83,0,0.62
91.00,0,0.62
91.17,0,0.62
91.33,0,0.62
91.50,0,0.62
91.67,0,0.62
91.83,0,0.62
92.00,0,0.62
92.17,0,0.62
92.33,0,0.62
92.50,0,0.62
92.67,0,0.62
92.83,0,0.62
93.00,0,0.62
93.17,0,0.62
93.33,0,0.62
93.50,0,0.62
93.67,0,0.62
93.83,0,0.62
94.00,0,0.62
94.17,0,0.62
94.33,0,0.62
94.50,0,0.62
94.67,0,0.62
94.83,0,0.62
95.00,0,0.62
95.17,0,0.62
95.33,0,0.62
95.50,0,0.62
95.67,0,0.62
95.83,0,0.62
96.00,0,0.62
96.17,0,0.62
96.33,0,0.80
96.50,0,0.80
96.67,0,0.80
96.83,0,0.80
97.00,0,0.80
97.17,0,0.80
97.33,0,0.80
97.50,0,0.80
97.67,0,0.80
97.83,0,0.80
98.00,0,0.80
98.17,0,0.80
98.33,0,0.80
98.50,0,0.80
98.67,0,0.80
98.83,0,0.80
99.00,0,0.80
99.17,0,0.80
99.33,1,1.00
99.50,1,1.00
99.67,1,1.00
99.83,1,1.00
100.00,1,1.00
100.00,1,1.00
100.17,1,1.00
100.33,1,1.00
100.50,1,1.00
100.67,1,1.00
100.83,1,1.00
101.00,1,1.00
101.17,1,1.00
101.33,1,1.00
101.50,1,1.00
101.67,1,1.00
101.83,1,1.00
102.00,1,1.00
102.17,1,1.00
102.33,1,1.00
102.50,1,1.00
102.67,1,1.00
102.83,1,1.00
103.00,1,1.00
103.17,1,1.00
103.33,1,1.00
103.50,1,1.00
103.67,1,1.00
103.83,0,0.64
104.00,0,0.64
104.17,0,0.64
104.33,0,0.64
104.50,0,0.64
104.67,0,0.64
104.83,0,0.64
105.00,0,0.64
105.17,0,0.64
105.33,0,0.64
105.50,0,0.64
105.67,0,0.64
105.83,0,0.64
106.00,0,0.64
106.17,0,0.64
106.33,0,0.64
106.50,0,0.64
106.67,0,0.64
106.83,0,0.64
107.00,0,0.64
107.17,0,0.64
107.33,0,0.64
107.50,0,0.64
107.67,0,0.64
107.83,0,0.64
108.00,0,0.64
108.17,0,0.64
108.33,0,0.64
108.50,0,0.64
108.67,0,0.38
108.83,0,0.38
109.00,0,0.38
109.17,0,0.38
109.33,0,0.38
109.50,0,0.38
109.67,0,0.64
109.83,0,0.64
110.00,0,0.64
110.17,0,0.64
110.33,0,0.64
110.50,0,0.64
110.67,0,0.64
110.83,0,0.64
111.00,0,0.64
111.17,0,0.64
111.33,0,0.64
111.50,0,0.64
111.67,0,0.64
111.83,0,0.64
112.00,0,0.64
112.17,0,0.64
112.33,0,0.64
112.50,0,0.64
112.67,0,0.64
112.83,0,0.64
113.00,0,0.64
113.17,0,0.64
113.33,0,0.64
113.50,0,0.64
113.67,0,0.64
113.83,0,0.64
114.00,0,0.64
114.17,0,0.64
114.33,0,0.64
114.50,0,0.64
114.67,0,0.64
114.83,0,0.64
115.00,0,0.64
115.17,0,0.64
115.33,0,0.64
115.50,0,0.64
115.67,0,0.64
115.83,0,0.64
116.00,0,0.64
116.17,0,0.64
116.33,0,0.64
116.50,0,0.64
116.67,0,0.64
116.83,0,0.64
117.00,0,0.64
117.17,0,0.64
117.33,0,0.64
117.50,0,0.64
117.67,0,0.64
117.83,0,0.64
118.00,0,0.64
118.17,0,0.64
118.33,0,0.64
118.50,0,0.64
118.67,0,0.64
118.83,0,0.64
119.00,0,0.64
119.17,0,0.64
119.33,1,1.00
119.50,1,1.00
119.67,1,1.00
119.83,1,1.00
120.00,1,1.00
120.00,1,1.00
120.17,1,1.00
120.33,1,1.00
120.50,1,1.00
120.67,1,1.00
120.83,1,1.00
121.00,1,1.00
121.17,1,1.00
121.33,1,1.00
121.50,1,1.00
121.67,1,1.00
121.83,1,1.00
122.00,1,1.00
122.17,1,1.00
122.33,1,1.00
122.50,1,1.00
122.67,1,1.00
122.83,1,1.00
123.00,1,1.00
123.17,1,1.00
123.33,1,1.00
123.50,1,1.00
123.67,1,1.00
123.83,0,0.47
124.00,0,0.47
124.17,0,0.47
124.33,0,0.47
124.50,0,0.47
124.67,0,0.47
124.83,0,0.47
125.00,0,0.47
125.17,0,0.47
125.33,0,0.47
125.50,0,0.47
125.67,0,0.47
125.83,0,0.47
126.00,0,0.47
126.17,0,0.40
126.33,0,0.40
126.50,0,0.40
126.67,0,0.40
126.83,0,0.40
127.00,0,0.40
127.17,0,0.40
127.33,0,0.40
127.50,0,0.40
127.67,0,0.40
127.83,0,0.40
128.00,0,0.40
128.17,0,0.40
128.33,0,0.40
128.50,0,0.40
128.67,0,0.40
128.83,0,0.40
129.00,0,0.40
129.17,0,0.40
129.33,0,0.40
129.50,0,0.40
129.67,0,0.40
129.83,0,0.40
130.00,0,0.40
130.17,0,0.40
130.33,0,0.40
130.50,0,0.40
130.67,0,0.40
130.83,0,0.40
131.00,0,0.40
131.17,0,0.40
