Drones,MSLAW-TimeLimitPercent,RWP-TimeLimitPercent,MSLAW-Coverage-When-Optimal,RWP-Coverage-When-Optimal,MSLAW-Time-WhenOptimal,RWP-Time-WhenOptimal,MSLAW-Coverage-When-TL,RWP-Coverage-When-TL,MSLAW-Gap-When-TL,RWP-Gap-When-TL
5,0.0,0.0,81.3594623655914,79.1710752688172,90.65719079086857,92.95311782244713,0.0,0.0,NaN,NaN
6,18.064516129032256,32.41935483870968,80.03198086297586,63.61520166376696,179.30186000395219,107.18734955931912,36.6760256869773,43.310229390681,92.05184571745205,88.91738766372687
7,17.903225806451612,37.90322580645161,77.94207317895305,61.572865847414235,208.04781850507425,57.78921819772771,48.14678614097969,55.342619745845546,92.28306872769159,90.2597230302673
8,13.387096774193548,25.967741935483872,83.86903204342453,72.0320523848911,238.36594992427786,97.95523671353325,43.62903524492234,28.555612903225807,91.87264091660116,87.50088252961986
9,13.870967741935484,21.612903225806452,84.80724266272735,77.45404602644915,276.7261310914597,107.15889890290543,35.08357142857143,34.271845878136205,92.15519100924232,89.63901848030164
10,3.5483870967741935,15.483870967741936,95.22178194466514,86.80171485463958,299.54058581243925,174.56560513145607,35.968317460317465,25.203389247311826,72.06551387139505,85.51666668108594
