Drones,MSLAW,RWP
5,81.3594623655914,79.1710752688172
6,86.83473118279571,84.98494623655914
7,89.58505376344087,89.17870967741935
8,91.59806451612903,91.51666666666667
9,92.65064516129033,92.93462365591398
10,94.90408602150538,94.57935483870968
