Time,MSLAW (# drones=5),MSLAW (# drones=7),MSLAW (# drones=10),RWP (# drones=5),RWP (# drones=7),RWP (# drones=10)
0,1.6000000000000003,1.742857142857143,2.46,1.6000000000000003,1.742857142857143,1.9899999999999998
1,1.6000000000000003,1.8,2.05,1.6000000000000003,1.742857142857143,2.06
2,1.6000000000000003,1.7285714285714289,2.0799999999999996,1.6000000000000003,1.742857142857143,2.0599999999999996
3,1.6000000000000003,1.742857142857143,1.8699999999999997,1.6000000000000003,1.7285714285714289,2.2199999999999998
4,1.6000000000000003,1.7142857142857146,1.98,1.6000000000000003,1.742857142857143,2.1299999999999994
5,1.6000000000000003,1.7571428571428573,1.95,1.6000000000000003,1.742857142857143,2.1199999999999997
6,1.6000000000000003,1.7714285714285716,2.000000000000001,1.6000000000000003,1.742857142857143,2.03
7,1.6000000000000003,1.742857142857143,1.9299999999999997,1.6000000000000003,1.742857142857143,2.1599999999999997
8,1.6000000000000003,1.7142857142857146,1.9099999999999997,1.6000000000000003,1.742857142857143,1.9999999999999996
9,1.6000000000000003,1.7714285714285716,1.9100000000000001,1.6000000000000003,1.7285714285714289,2.1299999999999994
10,1.6000000000000003,1.742857142857143,1.9,1.6000000000000003,1.7285714285714289,2.169999999999999
11,1.6000000000000003,1.7142857142857146,1.9599999999999997,1.6000000000000003,1.742857142857143,2.019999999999999
12,1.6000000000000003,1.7142857142857146,1.8699999999999999,1.6000000000000003,1.7285714285714289,2.0399999999999996
13,1.6000000000000003,1.7714285714285716,1.8799999999999997,1.6000000000000003,1.742857142857143,2.1199999999999997
14,1.6000000000000003,1.7571428571428573,1.9199999999999995,1.6000000000000003,1.7285714285714289,2.089999999999999
15,1.6000000000000003,1.7142857142857146,1.9299999999999997,1.6000000000000003,1.7714285714285716,2.1499999999999995
16,1.6000000000000003,1.7285714285714289,1.89,1.6000000000000003,1.7285714285714289,2.0199999999999996
17,1.6000000000000003,1.7285714285714289,1.95,1.6000000000000003,1.7142857142857146,2.03
18,1.6000000000000003,1.7142857142857146,1.9099999999999997,1.6000000000000003,1.742857142857143,2.0300000000000002
19,1.6000000000000003,1.7285714285714289,1.95,1.6000000000000003,1.7285714285714289,2.1
20,1.6000000000000003,1.7142857142857146,1.8900000000000001,1.6000000000000003,1.742857142857143,2.1100000000000003
21,1.6000000000000003,1.742857142857143,1.9600000000000002,1.6000000000000003,1.742857142857143,2.0799999999999996
22,1.6000000000000003,1.7285714285714289,1.8800000000000001,1.6000000000000003,1.7285714285714289,2.11
23,1.6000000000000003,1.742857142857143,1.9,1.6000000000000003,1.7571428571428573,2.03
24,1.6000000000000003,1.7142857142857146,1.92,1.6000000000000003,1.742857142857143,2.03
25,1.6000000000000003,1.7857142857142858,1.97,1.6000000000000003,1.7571428571428573,1.9799999999999993
26,1.6000000000000003,1.742857142857143,1.8800000000000001,1.6000000000000003,1.7285714285714289,2.05
27,1.6000000000000003,1.7571428571428573,1.8800000000000001,1.6000000000000003,1.742857142857143,2.0399999999999996
28,1.6000000000000003,1.7142857142857146,1.95,1.6000000000000003,1.742857142857143,2.0499999999999994
29,1.6000000000000003,1.7571428571428573,1.94,1.6000000000000003,1.7285714285714289,2.0599999999999996
30,1.6000000000000003,1.7142857142857146,1.9,1.6000000000000003,1.7571428571428573,2.1099999999999994
