Drones,MSLAW,RWP
5,3.864516129032258,3.916129032258065
6,4.709677419354838,4.827419354838709
7,5.359677419354838,5.5354838709677425
8,5.92741935483871,6.077419354838709
9,6.42741935483871,6.575806451612903
10,6.814516129032258,6.953225806451613
