Drones,MSLAW,RWP
5,1.6,1.6
6,1.6688172043010752,1.6741935483870969
7,1.7391705069124423,1.7396313364055298
8,1.8177419354838709,1.8568548387096773
9,1.8921146953405017,1.910752688172043
10,1.9474193548387095,2.0748387096774197
